2022001,28,6,8,6
2022002,29,15,14,20
2022003,10,14,7,11
2022004,14,9,16,11
2022005,22,13,15,16
2022006,5,12,12,17
2022007,28,10,27,20
2022008,10,6,5,12
2022009,6,5,29,24
2022010,16,5,10,24
2022011,14,14,12,6
2022012,6,13,7,9
2022013,12,6,27,22
2022014,27,14,20,11
2022015,26,11,17,25
2022016,16,15,30,8
2022017,9,8,3,19
2022018,9,11,27,19
2022019,26,12,10,22
2022020,19,4,6,20
2022021,19,15,20,25
2022022,7,7,25,22
2022023,11,8,5,11
2022024,23,11,11,13
2022025,30,4,4,9
2022026,18,12,23,24
2022027,18,4,12,6
2022028,10,9,13,20
2022029,9,7,19,15
2022030,25,14,4,16
2022031,29,12,11,25
2022032,8,15,8,14
2022033,18,8,22,21
2022034,22,5,15,17
2022035,23,4,29,10
2022036,25,10,18,16
2022037,13,13,8,23
2022038,8,12,14,7
2022039,8,12,11,9
2022040,23,5,28,25
2022041,20,14,3,23
2022042,11,5,30,24
2022043,5,9,10,9
2022044,10,4,8,13
2022045,22,7,19,19
2022046,25,8,14,18
2022047,17,4,14,9
2022048,16,10,27,10
2022049,15,8,18,23
2022050,21,15,4,18
2022051,16,5,19,25
2022052,20,13,9,19
2022053,23,6,10,9
2022054,29,9,27,8
2022055,27,7,8,9
2022056,29,9,14,13
2022057,17,9,23,20
2022058,6,5,22,8
2022059,18,15,26,12
2022060,22,15,30,12
2022061,24,14,3,23
2022062,19,11,30,11
2022063,25,14,12,15
2022064,26,15,18,16
2022065,6,10,8,7
2022066,10,9,3,10
2022067,16,11,25,23
2022068,5,4,13,14
2022069,27,8,27,17
2022070,18,15,6,10
2022071,9,12,20,7
2022072,29,9,12,8
2022073,9,7,22,15
2022074,12,12,24,6
2022075,26,15,18,23
2022076,29,6,23,24
2022077,17,14,21,9
2022078,11,7,11,10
2022079,17,12,12,10
2022080,20,11,23,14
2022081,18,10,5,22
2022082,18,15,14,21
2022083,29,10,10,10
2022084,10,12,11,22
2022085,24,14,11,15
2022086,14,11,9,9
2022087,9,6,24,11
2022088,17,11,21,15
2022089,18,15,11,25
2022090,15,4,16,20
2022091,15,15,24,21
2022092,10,4,27,10
2022093,23,9,23,18
2022094,30,5,6,13
2022095,28,5,29,22
2022096,21,11,15,7
2022097,29,11,26,7
2022098,16,8,26,6
2022099,10,7,23,25
2022100,7,8,3,6
2022101,30,13,3,17
2022102,19,6,8,17
2022103,30,4,28,18
2022104,22,14,22,21
2022105,11,15,27,24
2022106,23,6,8,18
2022107,20,9,5,10
2022108,19,6,22,15
2022109,25,7,30,20
2022110,15,7,26,20
2022111,9,10,21,7
2022112,19,7,12,15
2022113,25,12,24,11
2022114,19,8,7,23
2022115,9,14,21,18
2022116,21,10,18,14
2022117,18,9,9,8
2022118,28,5,21,12
2022119,29,14,6,24
2022120,24,12,9,15
2022121,12,5,22,19
2022122,9,4,18,6
2022123,9,5,18,25
2022124,24,5,12,19
2022125,17,12,12,23
2022126,22,4,29,8
2022127,16,10,17,6
2022128,30,10,14,10
2022129,28,4,21,16
2022130,25,6,5,9
2022131,30,10,24,6
2022132,13,14,27,10
2022133,19,4,20,19
2022134,6,4,15,13
2022135,14,13,13,22
2022136,26,8,5,20
2022137,14,10,8,9
2022138,27,11,13,23
2022139,15,6,13,14
2022140,28,14,28,8
2022141,21,4,7,19
2022142,21,7,21,22
2022143,24,7,7,8
2022144,19,10,23,14
2022145,28,12,13,13
2022146,13,8,28,19
2022147,16,12,9,23
2022148,29,11,3,22
2022149,27,10,6,8
2022150,7,15,25,13
2022151,24,7,24,18
2022152,25,15,17,9
2022153,8,12,7,22
2022154,7,14,11,9
2022155,30,15,29,6
2022156,27,5,26,7
2022157,24,14,8,21
2022158,8,6,30,24
2022159,25,9,26,22
2022160,16,6,27,14
2022161,13,11,7,19
2022162,27,14,13,8
2022163,24,9,11,21
2022164,16,9,23,17
2022165,23,14,8,16
2022166,12,4,11,8
2022167,26,15,15,8
2022168,23,15,11,23
2022169,13,10,5,15
2022170,6,13,8,8
2022171,21,13,16,15
2022172,20,15,23,25
2022173,14,11,23,11
2022174,7,5,14,21
2022175,19,5,15,21
2022176,14,14,21,21
2022177,8,7,20,9
2022178,13,4,5,8
2022179,23,15,27,24
2022180,14,12,5,19
2022181,21,8,25,16
2022182,18,9,17,22
2022183,24,9,28,17
2022184,20,6,21,12
2022185,19,12,29,6
2022186,5,14,29,6
2022187,7,4,28,10
2022188,17,10,30,11
2022189,26,14,16,15
2022190,14,4,6,13
2022191,28,10,28,20
2022192,25,4,28,24
2022193,8,11,25,16
2022194,22,8,19,24
2022195,12,10,25,12
2022196,19,9,20,18
2022197,14,12,18,17
2022198,11,7,6,6
2022199,23,4,7,14
2022200,24,6,28,25
2022201,24,15,20,11
2022202,9,9,7,23
2022203,8,5,5,21
2022204,9,12,23,13
2022205,13,4,9,22
2022206,6,12,27,10
2022207,21,10,5,8
2022208,8,12,28,19
2022209,24,15,15,20
2022210,7,4,23,7
2022211,10,6,24,24
2022212,15,8,4,6
2022213,25,4,30,7
2022214,14,15,30,22
2022215,27,15,16,19
2022216,11,11,23,23
2022217,20,12,22,9
2022218,26,15,21,15
2022219,18,9,7,14
2022220,29,9,17,16
2022221,14,9,4,20
2022222,22,15,20,13
2022223,30,4,25,21
2022224,30,11,22,16
2022225,8,10,18,17
2022226,6,6,5,20
2022227,6,10,8,12
2022228,9,5,3,13
2022229,6,7,25,24
2022230,24,10,9,20
2022231,22,13,7,19
2022232,8,5,29,22
2022233,16,5,19,25
2022234,16,12,26,23
2022235,6,4,3,24
2022236,11,6,23,20
2022237,23,4,29,24
2022238,30,13,21,19
2022239,17,8,10,15
2022240,5,13,19,15
2022241,5,15,9,13
2022242,13,7,5,16
2022243,26,5,15,19
2022244,7,9,25,16
2022245,7,8,13,7
2022246,13,10,21,12
2022247,8,13,11,19
2022248,6,12,16,19
2022249,24,12,19,21
2022250,25,7,29,22
2022251,14,11,22,13
2022252,12,6,10,24
2022253,14,5,5,23
2022254,8,11,22,24
2022255,28,11,7,23
2022256,12,12,24,24
2022257,25,4,8,12
2022258,23,9,7,19
2022259,10,13,5,14
2022260,28,7,16,9
2022261,27,14,24,11
2022262,23,14,17,16
2022263,21,4,26,15
2022264,17,9,23,15
2022265,8,14,29,24
2022266,5,9,5,20
2022267,9,7,22,20
2022268,24,10,13,18
2022269,13,4,17,21
2022270,19,4,4,20
2022271,14,6,4,14
2022272,30,5,19,9
2022273,26,12,6,8
2022274,18,5,25,7
2022275,10,13,11,18
2022276,9,14,10,8
2022277,24,14,28,9
2022278,17,10,18,24
2022279,25,13,15,21
2022280,22,8,9,7
2022281,16,10,4,22
2022282,27,13,10,23
2022283,14,10,6,15
2022284,9,9,13,19
2022285,16,11,25,16
2022286,19,9,10,9
2022287,6,14,30,15
2022288,27,14,8,24
2022289,8,8,26,10
2022290,20,8,30,25
2022291,28,5,28,22
2022292,5,5,14,18
2022293,27,4,7,17
2022294,5,6,14,20
2022295,15,8,29,19
2022296,11,15,18,19
2022297,28,8,5,6
2022298,12,10,4,21
2022299,27,9,23,20
2022300,22,4,27,7
2022301,20,6,9,11
2022302,24,10,19,6
2022303,19,14,18,22
2022304,7,11,6,25
2022305,16,6,22,14
2022306,16,11,16,9
2022307,18,9,24,24
2022308,18,5,8,24
2022309,24,6,4,19
2022310,19,7,3,13
2022311,9,13,12,25
2022312,27,14,27,19
2022313,29,9,26,8
2022314,8,4,22,24
2022315,18,9,3,9
2022316,12,5,13,15
2022317,8,6,19,7
2022318,16,9,11,13
2022319,18,4,13,18
2022320,13,15,22,20
2022321,21,6,7,11
2022322,6,7,5,15
2022323,23,5,8,14
2022324,18,14,26,13
2022325,30,8,19,8
2022326,28,8,8,10
2022327,26,14,24,9
2022328,8,8,10,13
2022329,7,5,11,19
2022330,24,15,25,25
2022331,30,11,30,18
2022332,27,9,29,13
2022333,13,14,10,24
2022334,26,14,21,22
2022335,19,10,8,7
2022336,20,10,26,25
2022337,10,7,23,18
2022338,30,10,30,7
2022339,21,5,8,10
2022340,26,7,23,25
2022341,28,11,20,19
2022342,29,7,28,10
2022343,21,9,22,20
2022344,11,4,10,6
2022345,15,13,25,11
2022346,21,13,15,23
